motor_id,motor_sinifi,verim_sinifi,motor_T_nom,motor_T_max,motor_n_max,motor_P_nom,T_cont,T_peak,t_cycle,t_peak,n_nom_ihtiyac,n_max_ihtiyac,T_amb,SF,T_rms_guvenlikli,P_ihtiyac_kW,uygunluk_skoru,verim_kod,sinif_kod
motor_003,asenkron,IE3,49.0,118.0,3000,7.5,8.4,20.38,14.67,4.88,1303.0,2307.0,36.2,1.5,20.41,1.86,35.0,3,0
motor_004,asenkron,IE4,72.0,173.0,3000,11.0,8.4,20.38,14.67,4.88,1303.0,2307.0,36.2,1.5,20.41,1.86,42.0,4,0
motor_005,asenkron,IE3,19.5,46.8,3000,3.0,8.4,20.38,14.67,4.88,1303.0,2307.0,36.2,1.5,20.41,1.86,0.0,3,0
motor_006,asenkron,IE4,98.0,235.0,3000,15.0,8.4,20.38,14.67,4.88,1303.0,2307.0,36.2,1.5,20.41,1.86,42.0,4,0
motor_007,servo,IE4,12.0,36.0,8000,5.0,8.4,20.38,14.67,4.88,1303.0,2307.0,36.2,1.5,20.41,1.86,0.0,4,1
motor_001,servo,IE4,8.0,24.0,6000,2.5,37.39,82.14,14.57,5.22,1017.0,2292.0,37.2,1.25,71.97,6.13,0.0,4,1
motor_002,asenkron,IE3,35.0,84.0,3000,5.5,37.39,82.14,14.57,5.22,1017.0,2292.0,37.2,1.25,71.97,6.13,0.0,3,0
motor_003,asenkron,IE3,49.0,118.0,3000,7.5,37.39,82.14,14.57,5.22,1017.0,2292.0,37.2,1.25,71.97,6.13,0.0,3,0
motor_004,asenkron,IE4,72.0,173.0,3000,11.0,37.39,82.14,14.57,5.22,1017.0,2292.0,37.2,1.25,71.97,6.13,67.0,4,0
motor_005,asenkron,IE3,19.5,46.8,3000,3.0,37.39,82.14,14.57,5.22,1017.0,2292.0,37.2,1.25,71.97,6.13,0.0,3,0
motor_006,asenkron,IE4,98.0,235.0,3000,15.0,37.39,82.14,14.57,5.22,1017.0,2292.0,37.2,1.25,71.97,6.13,57.0,4,0
motor_007,servo,IE4,12.0,36.0,8000,5.0,37.39,82.14,14.57,5.22,1017.0,2292.0,37.2,1.25,71.97,6.13,0.0,4,1
motor_001,servo,IE4,8.0,24.0,6000,2.5,27.84,36.71,7.26,1.55,924.0,2033.0,21.8,1.5,44.94,2.9,0.0,4,1
motor_002,asenkron,IE3,35.0,84.0,3000,5.5,27.84,36.71,7.26,1.55,924.0,2033.0,21.8,1.5,44.94,2.9,0.0,3,0
motor_003,asenkron,IE3,49.0,118.0,3000,7.5,27.84,36.71,7.26,1.55,924.0,2033.0,21.8,1.5,44.94,2.9,60.0,3,0
motor_004,asenkron,IE4,72.0,173.0,3000,11.0,27.84,36.71,7.26,1.55,924.0,2033.0,21.8,1.5,44.94,2.9,42.0,4,0
motor_005,asenkron,IE3,19.5,46.8,3000,3.0,27.84,36.71,7.26,1.55,924.0,2033.0,21.8,1.5,44.94,2.9,0.0,3,0
motor_006,asenkron,IE4,98.0,235.0,3000,15.0,27.84,36.71,7.26,1.55,924.0,2033.0,21.8,1.5,44.94,2.9,42.0,4,0
motor_007,servo,IE4,12.0,36.0,8000,5.0,27.84,36.71,7.26,1.55,924.0,2033.0,21.8,1.5,44.94,2.9,0.0,4,1
motor_001,servo,IE4,8.0,24.0,6000,2.5,3.73,7.56,11.82,4.95,4093.0,6344.0,36.0,1.25,7.07,2.43,0.0,4,1
motor_002,asenkron,IE3,35.0,84.0,3000,5.5,3.73,7.56,11.82,4.95,4093.0,6344.0,36.0,1.25,7.07,2.43,0.0,3,0
motor_003,asenkron,IE3,49.0,118.0,3000,7.5,3.73,7.56,11.82,4.95,4093.0,6344.0,36.0,1.25,7.07,2.43,0.0,3,0
motor_004,asenkron,IE4,72.0,173.0,3000,11.0,3.73,7.56,11.82,4.95,4093.0,6344.0,36.0,1.25,7.07,2.43,0.0,4,0
motor_005,asenkron,IE3,19.5,46.8,3000,3.0,3.73,7.56,11.82,4.95,4093.0,6344.0,36.0,1.25,7.07,2.43,0.0,3,0
motor_006,asenkron,IE4,98.0,235.0,3000,15.0,3.73,7.56,11.82,4.95,4093.0,6344.0,36.0,1.25,7.07,2.43,0.0,4,0
motor_007,servo,IE4,12.0,36.0,8000,5.0,3.73,7.56,11.82,4.95,4093.0,6344.0,36.0,1.25,7.07,2.43,52.0,4,1
motor_001,servo,IE4,8.0,24.0,6000,2.5,2.53,5.32,5.05,1.75,2299.0,4597.0,21.3,1.5,5.62,0.9,57.0,4,1
motor_002,asenkron,IE3,35.0,84.0,3000,5.5,2.53,5.32,5.05,1.75,2299.0,4597.0,21.3,1.5,5.62,0.9,0.0,3,0
motor_003,asenkron,IE3,49.0,118.0,3000,7.5,2.53,5.32,5.05,1.75,2299.0,4597.0,21.3,1.5,5.62,0.9,0.0,3,0
motor_004,asenkron,IE4,72.0,173.0,3000,11.0,2.53,5.32,5.05,1.75,2299.0,4597.0,21.3,1.5,5.62,0.9,0.0,4,0
motor_005,asenkron,IE3,19.5,46.8,3000,3.0,2.53,5.32,5.05,1.75,2299.0,4597.0,21.3,1.5,5.62,0.9,0.0,3,0
motor_006,asenkron,IE4,98.0,235.0,3000,15.0,2.53,5.32,5.05,1.75,2299.0,4597.0,21.3,1.5,5.62,0.9,0.0,4,0
motor_007,servo,IE4,12.0,36.0,8000,5.0,2.53,5.32,5.05,1.75,2299.0,4597.0,21.3,1.5,5.62,0.9,35.0,4,1
motor_001,servo,IE4,8.0,24.0,6000,2.5,17.31,37.49,14.69,5.24,773.0,1846.0,15.9,1.25,32.94,2.13,0.0,4,1
motor_002,asenkron,IE3,35.0,84.0,3000,5.5,17.31,37.49,14.69,5.24,773.0,1846.0,15.9,1.25,32.94,2.13,53.0,3,0
motor_003,asenkron,IE3,49.0,118.0,3000,7.5,17.31,37.49,14.69,5.24,773.0,1846.0,15.9,1.25,32.94,2.13,43.0,3,0
motor_004,asenkron,IE4,72.0,173.0,3000,11.0,17.31,37.49,14.69,5.24,773.0,1846.0,15.9,1.25,32.94,2.13,35.0,4,0
motor_005,asenkron,IE3,19.5,46.8,3000,3.0,17.31,37.49,14.69,5.24,773.0,1846.0,15.9,1.25,32.94,2.13,0.0,3,0
motor_006,asenkron,IE4,98.0,235.0,3000,15.0,17.31,37.49,14.69,5.24,773.0,1846.0,15.9,1.25,32.94,2.13,35.0,4,0
motor_007,servo,IE4,12.0,36.0,8000,5.0,17.31,37.49,14.69,5.24,773.0,1846.0,15.9,1.25,32.94,2.13,0.0,4,1
motor_001,servo,IE4,8.0,24.0,6000,2.5,3.75,8.91,8.83,1.87,2977.0,6028.0,31.0,1.25,6.6,1.65,0.0,4,1
motor_002,asenkron,IE3,35.0,84.0,3000,5.5,3.75,8.91,8.83,1.87,2977.0,6028.0,31.0,1.25,6.6,1.65,0.0,3,0
motor_003,asenkron,IE3,49.0,118.0,3000,7.5,3.75,8.91,8.83,1.87,2977.0,6028.0,31.0,1.25,6.6,1.65,0.0,3,0
motor_004,asenkron,IE4,72.0,173.0,3000,11.0,3.75,8.91,8.83,1.87,2977.0,6028.0,31.0,1.25,6.6,1.65,0.0,4,0
motor_005,asenkron,IE3,19.5,46.8,3000,3.0,3.75,8.91,8.83,1.87,2977.0,6028.0,31.0,1.25,6.6,1.65,0.0,3,0
motor_006,asenkron,IE4,98.0,235.0,3000,15.0,3.75,8.91,8.83,1.87,2977.0,6028.0,31.0,1.25,6.6,1.65,0.0,4,0
motor_007,servo,IE4,12.0,36.0,8000,5.0,3.75,8.91,8.83,1.87,2977.0,6028.0,31.0,1.25,6.6,1.65,42.0,4,1
motor_001,servo,IE4,8.0,24.0,6000,2.5,8.53,20.75,9.94,2.01,1065.0,2438.0,35.3,1.25,15.05,1.34,0.0,4,1
motor_002,asenkron,IE3,35.0,84.0,3000,5.5,8.53,20.75,9.94,2.01,1065.0,2438.0,35.3,1.25,15.05,1.34,45.0,3,0
motor_003,asenkron,IE3,49.0,118.0,3000,7.5,8.53,20.75,9.94,2.01,1065.0,2438.0,35.3,1.25,15.05,1.34,45.0,3,0
motor_004,asenkron,IE4,72.0,173.0,3000,11.0,8.53,20.75,9.94,2.01,1065.0,2438.0,35.3,1.25,15.05,1.34,52.0,4,0
motor_005,asenkron,IE3,19.5,46.8,3000,3.0,8.53,20.75,9.94,2.01,1065.0,2438.0,35.3,1.25,15.05,1.34,80.0,3,0
motor_006,asenkron,IE4,98.0,235.0,3000,15.0,8.53,20.75,9.94,2.01,1065.0,2438.0,35.3,1.25,15.05,1.34,52.0,4,0
motor_007,servo,IE4,12.0,36.0,8000,5.0,8.53,20.75,9.94,2.01,1065.0,2438.0,35.3,1.25,15.05,1.34,0.0,4,1
motor_001,servo,IE4,8.0,24.0,6000,2.5,14.25,22.27,5.16,1.96,918.0,2692.0,22.5,1.25,22.16,1.7,0.0,4,1
motor_002,asenkron,IE3,35.0,84.0,3000,5.5,14.25,22.27,5.16,1.96,918.0,2692.0,22.5,1.25,22.16,1.7,60.0,3,0
motor_003,asenkron,IE3,49.0,118.0,3000,7.5,14.25,22.27,5.16,1.96,918.0,2692.0,22.5,1.25,22.16,1.7,45.0,3,0
motor_004,asenkron,IE4,72.0,173.0,3000,11.0,14.25,22.27,5.16,1.96,918.0,2692.0,22.5,1.25,22.16,1.7,52.0,4,0
motor_005,asenkron,IE3,19.5,46.8,3000,3.0,14.25,22.27,5.16,1.96,918.0,2692.0,22.5,1.25,22.16,1.7,0.0,3,0
motor_006,asenkron,IE4,98.0,235.0,3000,15.0,14.25,22.27,5.16,1.96,918.0,2692.0,22.5,1.25,22.16,1.7,52.0,4,0
motor_007,servo,IE4,12.0,36.0,8000,5.0,14.25,22.27,5.16,1.96,918.0,2692.0,22.5,1.25,22.16,1.7,0.0,4,1
motor_001,servo,IE4,8.0,24.0,6000,2.5,4.23,8.79,13.98,2.36,1801.0,5269.0,22.0,1.5,7.92,1.0,77.0,4,1
motor_002,asenkron,IE3,35.0,84.0,3000,5.5,4.23,8.79,13.98,2.36,1801.0,5269.0,22.0,1.5,7.92,1.0,0.0,3,0
motor_003,asenkron,IE3,49.0,118.0,3000,7.5,4.23,8.79,13.98,2.36,1801.0,5269.0,22.0,1.5,7.92,1.0,0.0,3,0
motor_004,asenkron,IE4,72.0,173.0,3000,11.0,4.23,8.79,13.98,2.36,1801.0,5269.0,22.0,1.5,7.92,1.0,0.0,4,0
motor_005,asenkron,IE3,19.5,46.8,3000,3.0,4.23,8.79,13.98,2.36,1801.0,5269.0,22.0,1.5,7.92,1.0,0.0,3,0
motor_006,asenkron,IE4,98.0,235.0,3000,15.0,4.23,8.79,13.98,2.36,1801.0,5269.0,22.0,1.5,7.92,1.0,0.0,4,0
motor_007,servo,IE4,12.0,36.0,8000,5.0,4.23,8.79,13.98,2.36,1801.0,5269.0,22.0,1.5,7.92,1.0,57.0,4,1
motor_001,servo,IE4,8.0,24.0,6000,2.5,36.74,59.64,9.33,4.19,780.0,1727.0,20.0,1.5,72.55,3.95,0.0,4,1
motor_002,asenkron,IE3,35.0,84.0,3000,5.5,36.74,59.64,9.33,4.19,780.0,1727.0,20.0,1.5,72.55,3.95,0.0,3,0
motor_003,asenkron,IE3,49.0,118.0,3000,7.5,36.74,59.64,9.33,4.19,780.0,1727.0,20.0,1.5,72.55,3.95,0.0,3,0
motor_004,asenkron,IE4,72.0,173.0,3000,11.0,36.74,59.64,9.33,4.19,780.0,1727.0,20.0,1.5,72.55,3.95,0.0,4,0
motor_005,asenkron,IE3,19.5,46.8,3000,3.0,36.74,59.64,9.33,4.19,780.0,1727.0,20.0,1.5,72.55,3.95,0.0,3,0
motor_006,asenkron,IE4,98.0,235.0,3000,15.0,36.74,59.64,9.33,4.19,780.0,1727.0,20.0,1.5,72.55,3.95,50.0,4,0
motor_007,servo,IE4,12.0,36.0,8000,5.0,36.74,59.64,9.33,4.19,780.0,1727.0,20.0,1.5,72.55,3.95,0.0,4,1
motor_001,servo,IE4,8.0,24.0,6000,2.5,2.78,4.46,14.69,5.81,2020.0,3812.0,21.6,1.5,5.31,0.75,57.0,4,1
motor_002,asenkron,IE3,35.0,84.0,3000,5.5,2.78,4.46,14.69,5.81,2020.0,3812.0,21.6,1.5,5.31,0.75,0.0,3,0
motor_003,asenkron,IE3,49.0,118.0,3000,7.5,2.78,4.46,14.69,5.81,2020.0,3812.0,21.6,1.5,5.31,0.75,0.0,3,0
motor_004,asenkron,IE4,72.0,173.0,3000,11.0,2.78,4.46,14.69,5.81,2020.0,3812.0,21.6,1.5,5.31,0.75,0.0,4,0
motor_005,asenkron,IE3,19.5,46.8,3000,3.0,2.78,4.46,14.69,5.81,2020.0,3812.0,21.6,1.5,5.31,0.75,0.0,3,0
motor_006,asenkron,IE4,98.0,235.0,3000,15.0,2.78,4.46,14.69,5.81,2020.0,3812.0,21.6,1.5,5.31,0.75,0.0,4,0
motor_007,servo,IE4,12.0,36.0,8000,5.0,2.78,4.46,14.69,5.81,2020.0,3812.0,21.6,1.5,5.31,0.75,35.0,4,1
motor_001,servo,IE4,8.0,24.0,6000,2.5,4.49,7.34,9.53,1.24,2699.0,3647.0,18.3,1.25,6.19,1.4,70.0,4,1
motor_002,asenkron,IE3,35.0,84.0,3000,5.5,4.49,7.34,9.53,1.24,2699.0,3647.0,18.3,1.25,6.19,1.4,0.0,3,0
motor_003,asenkron,IE3,49.0,118.0,3000,7.5,4.49,7.34,9.53,1.24,2699.0,3647.0,18.3,1.25,6.19,1.4,0.0,3,0
motor_004,asenkron,IE4,72.0,173.0,3000,11.0,4.49,7.34,9.53,1.24,2699.0,3647.0,18.3,1.25,6.19,1.4,0.0,4,0
motor_005,asenkron,IE3,19.5,46.8,3000,3.0,4.49,7.34,9.53,1.24,2699.0,3647.0,18.3,1.25,6.19,1.4,0.0,3,0
motor_006,asenkron,IE4,98.0,235.0,3000,15.0,4.49,7.34,9.53,1.24,2699.0,3647.0,18.3,1.25,6.19,1.4,0.0,4,0
motor_007,servo,IE4,12.0,36.0,8000,5.0,4.49,7.34,9.53,1.24,2699.0,3647.0,18.3,1.25,6.19,1.4,35.0,4,1
motor_001,servo,IE4,8.0,24.0,6000,2.5,27.23,60.3,6.66,3.01,775.0,2483.0,23.5,1.5,67.94,3.67,0.0,4,1
motor_002,asenkron,IE3,35.0,84.0,3000,5.5,27.23,60.3,6.66,3.01,775.0,2483.0,23.5,1.5,67.94,3.67,0.0,3,0
motor_003,asenkron,IE3,49.0,118.0,3000,7.5,27.23,60.3,6.66,3.01,775.0,2483.0,23.5,1.5,67.94,3.67,0.0,3,0
motor_004,asenkron,IE4,72.0,173.0,3000,11.0,27.23,60.3,6.66,3.01,775.0,2483.0,23.5,1.5,67.94,3.67,77.0,4,0
motor_005,asenkron,IE3,19.5,46.8,3000,3.0,27.23,60.3,6.66,3.01,775.0,2483.0,23.5,1.5,67.94,3.67,0.0,3,0
motor_006,asenkron,IE4,98.0,235.0,3000,15.0,27.23,60.3,6.66,3.01,775.0,2483.0,23.5,1.5,67.94,3.67,67.0,4,0
motor_007,servo,IE4,12.0,36.0,8000,5.0,27.23,60.3,6.66,3.01,775.0,2483.0,23.5,1.5,67.94,3.67,0.0,4,1
motor_001,servo,IE4,8.0,24.0,6000,2.5,29.53,67.99,9.89,1.45,842.0,1752.0,15.9,1.5,56.53,3.32,0.0,4,1
motor_002,asenkron,IE3,35.0,84.0,3000,5.5,29.53,67.99,9.89,1.45,842.0,1752.0,15.9,1.5,56.53,3.32,0.0,3,0
motor_003,asenkron,IE3,49.0,118.0,3000,7.5,29.53,67.99,9.89,1.45,842.0,1752.0,15.9,1.5,56.53,3.32,0.0,3,0
motor_004,asenkron,IE4,72.0,173.0,3000,11.0,29.53,67.99,9.89,1.45,842.0,1752.0,15.9,1.5,56.53,3.32,70.0,4,0
motor_005,asenkron,IE3,19.5,46.8,3000,3.0,29.53,67.99,9.89,1.45,842.0,1752.0,15.9,1.5,56.53,3.32,0.0,3,0
motor_006,asenkron,IE4,98.0,235.0,3000,15.0,29.53,67.99,9.89,1.45,842.0,1752.0,15.9,1.5,56.53,3.32,35.0,4,0
motor_007,servo,IE4,12.0,36.0,8000,5.0,29.53,67.99,9.89,1.45,842.0,1752.0,15.9,1.5,56.53,3.32,0.0,4,1
motor_001,servo,IE4,8.0,24.0,6000,2.5,30.32,47.66,4.18,1.77,1102.0,1735.0,30.9,1.5,57.95,4.46,0.0,4,1
motor_002,asenkron,IE3,35.0,84.0,3000,5.5,30.32,47.66,4.18,1.77,1102.0,1735.0,30.9,1.5,57.95,4.46,0.0,3,0
motor_003,asenkron,IE3,49.0,118.0,3000,7.5,30.32,47.66,4.18,1.77,1102.0,1735.0,30.9,1.5,57.95,4.46,0.0,3,0
motor_004,asenkron,IE4,72.0,173.0,3000,11.0,30.32,47.66,4.18,1.77,1102.0,1735.0,30.9,1.5,57.95,4.46,70.0,4,0
motor_005,asenkron,IE3,19.5,46.8,3000,3.0,30.32,47.66,4.18,1.77,1102.0,1735.0,30.9,1.5,57.95,4.46,0.0,3,0
motor_006,asenkron,IE4,98.0,235.0,3000,15.0,30.32,47.66,4.18,1.77,1102.0,1735.0,30.9,1.5,57.95,4.46,35.0,4,0
motor_007,servo,IE4,12.0,36.0,8000,5.0,30.32,47.66,4.18,1.77,1102.0,1735.0,30.9,1.5,57.95,4.46,0.0,4,1
motor_001,servo,IE4,8.0,24.0,6000,2.5,5.59,8.67,11.43,4.68,3140.0,6505.0,20.3,1.5,10.52,2.31,0.0,4,1
motor_002,asenkron,IE3,35.0,84.0,3000,5.5,5.59,8.67,11.43,4.68,3140.0,6505.0,20.3,1.5,10.52,2.31,0.0,3,0
motor_003,asenkron,IE3,49.0,118.0,3000,7.5,5.59,8.67,11.43,4.68,3140.0,6505.0,20.3,1.5,10.52,2.31,0.0,3,0
motor_004,asenkron,IE4,72.0,173.0,3000,11.0,5.59,8.67,11.43,4.68,3140.0,6505.0,20.3,1.5,10.52,2.31,0.0,4,0
motor_005,asenkron,IE3,19.5,46.8,3000,3.0,5.59,8.67,11.43,4.68,3140.0,6505.0,20.3,1.5,10.52,2.31,0.0,3,0
motor_006,asenkron,IE4,98.0,235.0,3000,15.0,5.59,8.67,11.43,4.68,3140.0,6505.0,20.3,1.5,10.52,2.31,0.0,4,0
motor_007,servo,IE4,12.0,36.0,8000,5.0,5.59,8.67,11.43,4.68,3140.0,6505.0,20.3,1.5,10.52,2.31,87.0,4,1
motor_001,servo,IE4,8.0,24.0,6000,2.5,15.84,22.36,9.83,2.18,1304.0,2716.0,29.6,1.5,26.24,2.39,0.0,4,1
motor_002,asenkron,IE3,35.0,84.0,3000,5.5,15.84,22.36,9.83,2.18,1304.0,2716.0,29.6,1.5,26.24,2.39,60.0,3,0
motor_003,asenkron,IE3,49.0,118.0,3000,7.5,15.84,22.36,9.83,2.18,1304.0,2716.0,29.6,1.5,26.24,2.39,45.0,3,0
motor_004,asenkron,IE4,72.0,173.0,3000,11.0,15.84,22.36,9.83,2.18,1304.0,2716.0,29.6,1.5,26.24,2.39,52.0,4,0
motor_005,asenkron,IE3,19.5,46.8,3000,3.0,15.84,22.36,9.83,2.18,1304.0,2716.0,29.6,1.5,26.24,2.39,0.0,3,0
motor_006,asenkron,IE4,98.0,235.0,3000,15.0,15.84,22.36,9.83,2.18,1304.0,2716.0,29.6,1.5,26.24,2.39,52.0,4,0
motor_007,servo,IE4,12.0,36.0,8000,5.0,15.84,22.36,9.83,2.18,1304.0,2716.0,29.6,1.5,26.24,2.39,0.0,4,1
motor_001,servo,IE4,8.0,24.0,6000,2.5,2.39,5.65,11.99,5.49,2487.0,4733.0,16.9,1.25,5.26,1.1,67.0,4,1
motor_002,asenkron,IE3,35.0,84.0,3000,5.5,2.39,5.65,11.99,5.49,2487.0,4733.0,16.9,1.25,5.26,1.1,0.0,3,0
motor_003,asenkron,IE3,49.0,118.0,3000,7.5,2.39,5.65,11.99,5.49,2487.0,4733.0,16.9,1.25,5.26,1.1,0.0,3,0
motor_004,asenkron,IE4,72.0,173.0,3000,11.0,2.39,5.65,11.99,5.49,2487.0,4733.0,16.9,1.25,5.26,1.1,0.0,4,0
motor_005,asenkron,IE3,19.5,46.8,3000,3.0,2.39,5.65,11.99,5.49,2487.0,4733.0,16.9,1.25,5.26,1.1,0.0,3,0
motor_006,asenkron,IE4,98.0,235.0,3000,15.0,2.39,5.65,11.99,5.49,2487.0,4733.0,16.9,1.25,5.26,1.1,0.0,4,0
motor_007,servo,IE4,12.0,36.0,8000,5.0,2.39,5.65,11.99,5.49,2487.0,4733.0,16.9,1.25,5.26,1.1,35.0,4,1
